Timestamp,Elapsed_Seconds,Capacitance
2025-11-25 12:03:32.076382,0.0194,17.0
2025-11-25 12:03:32.117990,0.061,17.0
2025-11-25 12:03:32.174664,0.1177,17.0
2025-11-25 12:03:32.222486,0.1655,17.0
2025-11-25 12:03:32.269601,0.2126,17.0
2025-11-25 12:03:32.326241,0.2693,16.0
2025-11-25 12:03:32.368914,0.3119,16.0
2025-11-25 12:03:32.429664,0.3727,16.0
2025-11-25 12:03:32.472315,0.4153,17.0
2025-11-25 12:03:32.521222,0.4643,16.0
2025-11-25 12:03:32.575940,0.519,16.0
2025-11-25 12:03:32.625360,0.5684,16.0
2025-11-25 12:03:32.666723,0.6098,17.0
2025-11-25 12:03:32.721925,0.665,16.0
2025-11-25 12:03:32.767130,0.7102,16.0
2025-11-25 12:03:32.822025,0.7651,17.0
2025-11-25 12:03:32.876154,0.8192,16.0
2025-11-25 12:03:32.919538,0.8626,16.0
2025-11-25 12:03:32.974575,0.9176,16.0
2025-11-25 12:03:33.018929,0.962,16.0
2025-11-25 12:03:33.079341,1.0224,16.0
2025-11-25 12:03:33.120920,1.064,16.0
2025-11-25 12:03:33.176714,1.1197,16.0
2025-11-25 12:03:33.224355,1.1674,16.0
2025-11-25 12:03:33.268894,1.2119,16.0
2025-11-25 12:03:33.323341,1.2664,16.0
2025-11-25 12:03:33.370225,1.3133,16.0
2025-11-25 12:03:33.425015,1.3681,16.0
2025-11-25 12:03:33.474032,1.4171,16.0
2025-11-25 12:03:33.528991,1.472,16.0
2025-11-25 12:03:33.570929,1.514,16.0
2025-11-25 12:03:33.619952,1.563,16.0
2025-11-25 12:03:33.675551,1.6186,16.0
2025-11-25 12:03:33.723243,1.6663,15.0
2025-11-25 12:03:33.765645,1.7087,15.0
2025-11-25 12:03:33.822372,1.7654,16.0
2025-11-25 12:03:33.870489,1.8135,16.0
2025-11-25 12:03:33.926497,1.8695,16.0
2025-11-25 12:03:33.967970,1.911,16.0
2025-11-25 12:03:34.023077,1.9661,16.0
2025-11-25 12:03:34.067181,2.0102,16.0
2025-11-25 12:03:34.121965,2.065,16.0
2025-11-25 12:03:34.170478,2.1135,16.0
2025-11-25 12:03:34.214338,2.1574,16.0
2025-11-25 12:03:34.272716,2.2157,16.0
2025-11-25 12:03:34.321934,2.265,16.0
2025-11-25 12:03:34.375528,2.3186,15.0
2025-11-25 12:03:34.418798,2.3618,16.0
2025-11-25 12:03:34.474597,2.4176,16.0
2025-11-25 12:03:34.520759,2.4638,16.0
2025-11-25 12:03:34.574269,2.5173,15.0
2025-11-25 12:03:34.621034,2.5641,16.0
2025-11-25 12:03:34.670581,2.6136,16.0
2025-11-25 12:03:34.725056,2.6681,16.0
2025-11-25 12:03:34.773305,2.7164,15.0
2025-11-25 12:03:34.816793,2.7598,15.0
2025-11-25 12:03:34.874346,2.8174,15.0
2025-11-25 12:03:34.921244,2.8643,15.0
2025-11-25 12:03:34.965279,2.9083,15.0
2025-11-25 12:03:35.025019,2.9681,15.0
2025-11-25 12:03:35.066534,3.0096,16.0
2025-11-25 12:03:35.122062,3.0651,16.0
2025-11-25 12:03:35.169438,3.1125,15.0
2025-11-25 12:03:35.215846,3.1589,15.0
2025-11-25 12:03:35.269917,3.2129,15.0
2025-11-25 12:03:35.323737,3.2668,15.0
2025-11-25 12:03:35.368643,3.3117,15.0
2025-11-25 12:03:35.428735,3.3718,15.0
2025-11-25 12:03:35.468761,3.4118,16.0
2025-11-25 12:03:35.524596,3.4676,15.0
2025-11-25 12:03:35.566598,3.5097,15.0
2025-11-25 12:03:35.625627,3.5687,15.0
2025-11-25 12:03:35.670734,3.6138,15.0
2025-11-25 12:03:35.713840,3.6569,16.0
2025-11-25 12:03:35.769595,3.7126,15.0
2025-11-25 12:03:35.818051,3.7611,16.0
2025-11-25 12:03:35.871559,3.8146,16.0
2025-11-25 12:03:35.920751,3.8638,17.0
2025-11-25 12:03:35.962913,3.906,17.0
2025-11-25 12:03:36.019499,3.9625,17.0
2025-11-25 12:03:36.067071,4.0101,17.0
2025-11-25 12:03:36.122333,4.0654,18.0
2025-11-25 12:03:36.164959,4.108,20.0
2025-11-25 12:03:36.220100,4.1631,22.0
2025-11-25 12:03:36.267276,4.2103,23.0
2025-11-25 12:03:36.323318,4.2664,24.0
2025-11-25 12:03:36.374093,4.3171,25.0
2025-11-25 12:03:36.414249,4.3573,25.0
2025-11-25 12:03:36.470589,4.4136,27.0
2025-11-25 12:03:36.518907,4.4619,29.0
2025-11-25 12:03:36.569212,4.5123,29.0
2025-11-25 12:03:36.616099,4.5591,31.0
2025-11-25 12:03:36.672586,4.6156,31.0
2025-11-25 12:03:36.714447,4.6575,32.0
2025-11-25 12:03:36.776196,4.7192,34.0
2025-11-25 12:03:36.820967,4.764,36.0
2025-11-25 12:03:36.873244,4.8163,39.0
2025-11-25 12:03:36.917394,4.8604,42.0
2025-11-25 12:03:36.969460,4.9125,45.0
2025-11-25 12:03:37.013957,4.957,45.0
2025-11-25 12:03:37.070879,5.0139,47.0
2025-11-25 12:03:37.117428,5.0605,47.0
2025-11-25 12:03:37.172499,5.1155,49.0
2025-11-25 12:03:37.216005,5.1591,107.0
2025-11-25 12:03:37.264880,5.2079,112.0
2025-11-25 12:03:37.321317,5.2643,112.0
2025-11-25 12:03:37.367322,5.3104,105.0
2025-11-25 12:03:37.422774,5.3658,76.0
2025-11-25 12:03:37.466932,5.41,65.0
2025-11-25 12:03:37.519495,5.4625,60.0
2025-11-25 12:03:37.563530,5.5066,62.0
2025-11-25 12:03:37.623552,5.5666,56.0
2025-11-25 12:03:37.671672,5.6147,60.0
2025-11-25 12:03:37.716396,5.6594,67.0
2025-11-25 12:03:37.776269,5.7193,87.0
2025-11-25 12:03:37.817771,5.7608,112.0
2025-11-25 12:03:37.862979,5.806,120.0
2025-11-25 12:03:37.917965,5.861,122.0
2025-11-25 12:03:37.965892,5.9089,124.0
2025-11-25 12:03:38.023470,5.9665,118.0
2025-11-25 12:03:38.061301,6.0043,112.0
2025-11-25 12:03:38.119371,6.0624,109.0
2025-11-25 12:03:38.160555,6.1036,108.0
2025-11-25 12:03:38.216418,6.1595,109.0
2025-11-25 12:03:38.265961,6.209,109.0
2025-11-25 12:03:38.321351,6.2644,114.0
2025-11-25 12:03:38.368974,6.312,123.0
2025-11-25 12:03:38.413131,6.3562,127.0
2025-11-25 12:03:38.466737,6.4098,126.0
2025-11-25 12:03:38.512620,6.4557,123.0
2025-11-25 12:03:38.573003,6.516,119.0
2025-11-25 12:03:38.612211,6.5553,115.0
2025-11-25 12:03:38.667975,6.611,113.0
2025-11-25 12:03:38.717331,6.6604,112.0
2025-11-25 12:03:38.769512,6.7126,115.0
2025-11-25 12:03:38.815528,6.7586,126.0
2025-11-25 12:03:38.869329,6.8124,127.0
2025-11-25 12:03:38.916004,6.859,127.0
2025-11-25 12:03:38.967702,6.9107,123.0
2025-11-25 12:03:39.013935,6.957,120.0
2025-11-25 12:03:39.063441,7.0065,107.0
2025-11-25 12:03:39.118433,7.0615,75.0
2025-11-25 12:03:39.161401,7.1044,68.0
2025-11-25 12:03:39.216489,7.1595,57.0
2025-11-25 12:03:39.266348,7.2094,49.0
2025-11-25 12:03:39.309607,7.2526,36.0
